episode,reward, average reward, 100-episode running mean reward
1,-112.82273801659373,-112.82273801659373,-112.82273801659373
2,-140.53708705424702,-126.67991253542039,-126.67991253542039
3,-135.5499819829061,-129.63660235124897,-129.63660235124897
4,-62.135976618353524,-112.7614459180251,-112.7614459180251
5,-117.84272729833255,-113.7777021940866,-113.7777021940866
6,-211.20564969093806,-130.01569344356184,-130.01569344356184
7,-295.3879243614192,-153.6402978603986,-153.6402978603986
8,-134.02274288203157,-151.18810348810274,-151.18810348810274
9,-408.92111976526013,-179.8251052966758,-179.8251052966758
10,-243.96711624636686,-186.2393063916449,-186.2393063916449
11,-97.81183612011773,-178.2004454578697,-178.2004454578697
12,-23.98128312756154,-165.3488485970107,-165.3488485970107
13,-372.57123512889757,-181.2890321763866,-181.2890321763866
14,-54.66492205340896,-172.2444528818882,-172.2444528818882
15,-83.18042886395892,-166.3068512806929,-166.3068512806929
16,-102.15353084150269,-162.2972687532435,-162.2972687532435
17,-118.80589075704955,-159.7389524005262,-159.7389524005262
18,-110.33229692815823,-156.99413820761686,-156.99413820761686
19,-144.98575232973008,-156.36211789825438,-156.36211789825438
20,-223.8340824244599,-159.73571612456468,-159.73571612456468
21,-248.62496778176504,-163.9685376320504,-163.9685376320504
22,-270.2379981361356,-168.79896765496335,-168.79896765496335
23,-407.0997908740742,-179.159873012316,-179.159873012316
24,-174.0737356438703,-178.94795062196417,-178.94795062196417
25,-217.44542009331627,-180.48784940081822,-180.48784940081822
26,-331.52800477926394,-186.29708614614307,-186.29708614614307
27,-343.32218850718124,-192.1128306780334,-192.1128306780334
28,-115.87224518900368,-189.38995262485375,-189.38995262485375
29,-455.2824701681106,-198.55866012634536,-198.55866012634536
30,-149.28600090298858,-196.91623815223343,-196.91623815223343
31,-134.201798135996,-194.89319170009674,-194.89319170009674
32,-216.26185866413448,-195.56096254272293,-195.56096254272293
33,-63.265281923212136,-191.55200252394988,-191.55200252394988
34,-105.7700940777743,-189.02900521670944,-189.02900521670944
35,-412.0213321203868,-195.4002145568145,-195.4002145568145
36,-219.86296780055423,-196.0797354802517,-196.0797354802517
37,-117.42323576172643,-193.95388413650778,-193.95388413650778
38,-198.05898574508214,-194.06191312620712,-194.06191312620712
39,-404.4321331071995,-199.45602133084796,-199.45602133084796
40,-266.6194231517468,-201.1351063763704,-201.1351063763704
41,-197.2170575781185,-201.0395442105594,-201.0395442105594
42,-129.6475829353833,-199.3397356087695,-199.3397356087695
43,-405.2662760025121,-204.1287249202519,-204.1287249202519
44,-49.713684083558746,-200.61929217396343,-200.61929217396343
45,-148.51653637199786,-199.46145315614194,-199.46145315614194
46,-156.24376610771623,-198.5219382203066,-198.5219382203066
47,-32.43281070173248,-194.98812699650713,-194.98812699650713
48,-134.43000850820155,-193.72649952800077,-193.72649952800077
49,-16.6294474447853,-190.1122739752821,-190.1122739752821
50,-44.28961969517841,-187.19582088968002,-187.19582088968002
51,-134.8773667875099,-186.16996884846102,-186.16996884846102
52,-146.6871216135149,-185.41068332471207,-185.41068332471207
53,-121.22830201705233,-184.19969499815244,-184.19969499815244
