episode,reward, average reward, 100-episode running mean reward
1,-125.4683,-125.4683,-125.4683
2,-98.7522,-112.1102,-112.1102
3,-139.3348,-121.1851,-121.1851
4,-437.1148,-200.1675,-200.1675
5,-190.2735,-198.1887,-198.1887
6,-167.0291,-192.9954,-192.9954
7,-123.4432,-183.0594,-183.0594
8,-116.4906,-174.7383,-174.7383
9,-205.4569,-178.1515,-178.1515
10,-58.7308,-166.2094,-166.2094
11,-177.5601,-167.2413,-167.2413
12,-304.1182,-178.6477,-178.6477
13,-131.1544,-174.9944,-174.9944
14,-181.2621,-175.4421,-175.4421
15,-183.885,-176.0049,-176.0049
16,-79.9916,-170.0041,-170.0041
17,-136.6244,-168.0406,-168.0406
18,-271.3654,-173.7809,-173.7809
19,-292.6661,-180.038,-180.038
20,-321.2648,-187.0993,-187.0993
21,-92.6099,-182.5998,-182.5998
22,-76.1637,-177.7618,-177.7618
23,-79.2785,-173.4799,-173.4799
24,-326.389,-179.8511,-179.8511
25,-95.9934,-176.4968,-176.4968
26,-156.8572,-175.7415,-175.7415
27,-168.1207,-175.4592,-175.4592
28,-86.588,-172.2852,-172.2852
29,-88.6859,-169.4025,-169.4025
30,-20.6316,-164.4435,-164.4435
31,-68.9865,-161.3642,-161.3642
32,-113.4796,-159.8678,-159.8678
33,-178.6069,-160.4357,-160.4357
34,-161.3677,-160.4631,-160.4631
35,-116.4181,-159.2047,-159.2047
36,-96.6405,-157.4668,-157.4668
37,-105.8927,-156.0729,-156.0729
38,-90.5812,-154.3494,-154.3494
39,-92.1698,-152.7551,-152.7551
40,-69.9714,-150.6855,-150.6855
41,-100.7432,-149.4674,-149.4674
42,-92.2005,-148.1039,-148.1039
43,-103.4159,-147.0646,-147.0646
44,-98.5791,-145.9627,-145.9627
45,-82.7644,-144.5583,-144.5583
46,-113.9371,-143.8926,-143.8926
47,-155.7575,-144.145,-144.145
48,-89.155,-142.9994,-142.9994
49,-138.1789,-142.901,-142.901
50,-50.0054,-141.0431,-141.0431
51,-131.2397,-140.8509,-140.8509
52,-161.418,-141.2464,-141.2464
53,-127.6432,-140.9897,-140.9897
54,-99.2157,-140.2162,-140.2162
55,-163.7377,-140.6438,-140.6438
56,-186.8962,-141.4698,-141.4698
57,-106.4135,-140.8547,-140.8547
58,-78.7108,-139.7833,-139.7833
59,-128.1251,-139.5857,-139.5857
60,-107.2273,-139.0464,-139.0464
61,-93.5512,-138.3006,-138.3006
62,-102.4625,-137.7225,-137.7225
63,-127.711,-137.5636,-137.5636
64,-113.6295,-137.1896,-137.1896
65,-56.5727,-135.9494,-135.9494
66,-92.0737,-135.2846,-135.2846
67,-106.7306,-134.8584,-134.8584
68,-86.8417,-134.1523,-134.1523
69,-252.9857,-135.8745,-135.8745
70,-128.9143,-135.7751,-135.7751
71,-137.1986,-135.7951,-135.7951
72,-105.7056,-135.3772,-135.3772
73,-92.3539,-134.7879,-134.7879
74,-100.0381,-134.3183,-134.3183
75,-108.831,-133.9784,-133.9784
76,-137.9133,-134.0302,-134.0302
77,-118.54,-133.829,-133.829
78,-46.0429,-132.7036,-132.7036
79,-323.0446,-135.113,-135.113
80,-94.4092,-134.6042,-134.6042
81,-56.7357,-133.6428,-133.6428
82,-124.1232,-133.5267,-133.5267
83,-162.2624,-133.8729,-133.8729
84,-123.809,-133.7531,-133.7531
85,-217.9272,-134.7434,-134.7434
86,-91.3223,-134.2385,-134.2385
87,-275.6943,-135.8644,-135.8644
88,-96.3098,-135.415,-135.415
89,-108.9624,-135.1177,-135.1177
90,-64.3195,-134.3311,-134.3311
91,-124.2233,-134.22,-134.22
92,-4.9716,-132.8151,-132.8151
93,-75.7529,-132.2016,-132.2016
94,-89.747,-131.7499,-131.7499
95,-146.1276,-131.9013,-131.9013
96,-129.926,-131.8807,-131.8807
97,-105.1933,-131.6056,-131.6056
98,-6.4809,-130.3288,-130.3288
99,-76.6722,-129.7868,-129.7868
100,-83.2609,-129.3215,-129.3215
101,-93.0992,-128.9629,-128.9979
102,-77.6278,-128.4596,-128.7866
103,-120.2049,-128.3795,-128.5953
104,-196.5937,-129.0354,-126.1901
105,-107.1659,-128.8271,-125.359
106,-75.1174,-128.3204,-124.4399
107,-67.6083,-127.753,-123.8816
108,-84.0636,-127.3485,-123.5573
109,-65.6489,-126.7824,-122.1592
110,-108.4553,-126.6158,-122.6565
111,-178.3332,-127.0817,-122.6642
112,-70.2101,-126.574,-120.3251
113,13.4521,-125.3348,-118.879
114,-52.374,-124.6948,-117.5902
115,-182.8237,-125.2002,-117.5795
116,-117.4562,-125.1335,-117.9542
117,-72.2865,-124.6818,-117.3108
118,-182.4359,-125.1712,-116.4215
119,-201.5709,-125.8133,-115.5106
120,-486.2555,-128.8169,-117.1605
121,-129.1011,-128.8193,-117.5254
122,-192.8364,-129.344,-118.6921
123,-118.7738,-129.2581,-119.0871
124,-106.062,-129.071,-116.8838
125,-236.5471,-129.9308,-118.2893
126,-110.6972,-129.7782,-117.8277
127,-99.8406,-129.5425,-117.1449
128,-131.3648,-129.5567,-117.5927
129,-212.6968,-130.2012,-118.8328
130,4.7603,-129.163,-118.5789
131,-57.8808,-128.6189,-118.4678
132,-87.2945,-128.3058,-118.206
133,-105.4792,-128.1342,-117.4747
134,-144.1849,-128.254,-117.3029
135,-133.1652,-128.2904,-117.4703
136,-142.439,-128.3944,-117.9283
137,-24.0134,-127.6325,-117.1095
138,-55.8673,-127.1124,-116.7624
139,-78.3157,-126.7614,-116.6239
140,-60.5861,-126.2887,-116.53
141,-83.4453,-125.9849,-116.357
142,-52.4792,-125.4672,-115.9598
143,-106.7454,-125.3363,-115.9931
144,-74.3679,-124.9823,-115.751
145,-153.7051,-125.1804,-116.4604
146,-80.1437,-124.872,-116.1225
147,-6.8518,-124.0691,-114.6334
148,-60.4264,-123.6391,-114.3461
149,-80.7749,-123.3514,-113.7721
150,-54.6582,-122.8934,-113.8186
151,-103.3217,-122.7638,-113.5394
152,-106.7206,-122.6583,-112.9925
153,-63.0675,-122.2688,-112.3467
154,-49.021,-121.7932,-111.8448
155,-89.7791,-121.5866,-111.1052
156,-69.3672,-121.2519,-109.9299
157,-13.9581,-120.5685,-109.0053
158,-104.0566,-120.464,-109.2588
159,-1.4031,-119.7152,-107.9916
160,-190.9142,-120.1602,-108.8284
161,-111.262,-120.1049,-109.0055
162,-159.2005,-120.3462,-109.5729
163,-33.9778,-119.8164,-108.6356
164,-26.8073,-119.2492,-107.7674
165,-71.513,-118.9599,-107.9168
166,-150.0158,-119.147,-108.4962
167,-83.1834,-118.9317,-108.2607
168,-37.1769,-118.445,-107.7641
169,-105.2431,-118.3669,-106.2866
170,-206.6447,-118.8862,-107.0639
171,-93.1334,-118.7356,-106.6233
172,-74.372,-118.4776,-106.31
173,-122.6259,-118.5016,-106.6127
174,-82.4437,-118.2944,-106.4367
175,5.0426,-117.5896,-105.298
176,-87.5531,-117.419,-104.7944
177,-116.3158,-117.4127,-104.7722
178,-30.8175,-116.9262,-104.6199
179,-46.4257,-116.5324,-101.8537
180,-194.3151,-116.9645,-102.8528
181,-180.6564,-117.3164,-104.092
182,-305.147,-118.3484,-105.9022
183,-66.2566,-118.0638,-104.9422
184,-68.5967,-117.7949,-104.39
185,-68.1009,-117.5263,-102.8918
186,-172.2759,-117.8207,-103.7013
187,-373.5672,-119.1883,-104.68
188,-31.9265,-118.7241,-104.0362
189,-22.4257,-118.2146,-103.1708
190,-37.0909,-117.7877,-102.8986
191,-115.3216,-117.7747,-102.8095
192,-62.6383,-117.4876,-103.3862
193,-18.5969,-116.9752,-102.8146
194,-242.0036,-117.6197,-104.3372
195,-100.0973,-117.5298,-103.8769
196,-56.1067,-117.2164,-103.1387
197,-260.9687,-117.9461,-104.6965
198,-366.0662,-119.1993,-108.2923
199,38.7571,-118.4055,-107.138
200,-72.6205,-118.1766,-107.0316
201,-329.3313,-119.2271,-109.3939
202,-154.0643,-119.3996,-110.1583
203,28.7882,-118.6696,-108.6684
204,6.6368,-118.0553,-106.6361
205,-154.2138,-118.2317,-107.1066
206,51.7473,-117.4066,-105.8379
207,-22.8276,-116.9497,-105.3901
208,-31.1057,-116.537,-104.8605
209,-51.9129,-116.2278,-104.7232
210,-170.9118,-116.4882,-105.3477
211,-188.514,-116.8295,-105.4495
212,-123.2642,-116.8599,-105.9801
213,-85.5192,-116.7127,-106.9698
214,-50.5725,-116.4037,-106.9518
215,-201.7325,-116.8005,-107.1409
216,-162.5278,-117.0122,-107.5916
217,-303.8212,-117.8731,-109.9069
218,24.1952,-117.2214,-107.8406
219,-134.0235,-117.2981,-107.1651
220,-42.7723,-116.9594,-102.7303
221,-198.6572,-117.3291,-103.4259
222,-41.9627,-116.9896,-101.9171
223,-468.9594,-118.5679,-105.419
224,-228.626,-119.0592,-106.6446
225,-47.0797,-118.7393,-104.7499
226,2.0557,-118.2048,-103.6224
227,-64.6673,-117.969,-103.2707
228,-8.5084,-117.4889,-102.0421
229,-53.1251,-117.2078,-100.4464
230,-11.817,-116.7496,-100.6122
231,-5.6775,-116.2688,-100.0901
232,-207.7251,-116.663,-101.2944
233,-313.9393,-117.5097,-103.379
234,-211.0749,-117.9095,-104.0479
235,-21.0769,-117.4975,-102.9271
236,-29.6466,-117.1252,-101.7991
237,-70.2409,-116.9274,-102.2614
238,-41.3399,-116.6098,-102.1161
239,-47.6032,-116.3211,-101.809
240,-85.771,-116.1938,-102.0609
241,-79.0079,-116.0395,-102.0165
242,-1.7942,-115.5674,-101.5096
243,-92.4826,-115.4724,-101.367
244,-74.3824,-115.304,-101.3672
245,141.9623,-114.2539,-98.4105
246,-202.3821,-114.6122,-99.6329
247,-95.593,-114.5352,-100.5203
248,-2.1435,-114.082,-99.9375
249,-73.4805,-113.9189,-99.8645
250,-7.6325,-113.4938,-99.3943
251,-15.0767,-113.1017,-98.5118
