episode,reward, average reward, 100-episode running mean reward
1,-87.3649,-87.3649,-87.3649
2,-108.5924,-97.9786,-97.9786
3,-172.3207,-122.7593,-122.7593
4,-140.648,-127.2315,-127.2315
5,-327.1906,-167.2233,-167.2233
6,-245.0099,-180.1878,-180.1878
7,-31.8907,-159.0025,-159.0025
8,-124.9765,-154.7492,-154.7492
9,-471.9355,-189.9921,-189.9921
10,-200.0854,-191.0015,-191.0015
11,-72.4365,-180.2228,-180.2228
12,-211.2016,-182.8044,-182.8044
13,-120.835,-178.0375,-178.0375
14,-82.9855,-171.2481,-171.2481
15,-46.9608,-162.9623,-162.9623
16,-144.6251,-161.8162,-161.8162
17,-62.8349,-155.9938,-155.9938
18,-55.9586,-150.4363,-150.4363
19,-79.7265,-146.7147,-146.7147
20,-217.0023,-150.2291,-150.2291
21,-98.3072,-147.7566,-147.7566
22,-371.5181,-157.9276,-157.9276
23,-292.9924,-163.8,-163.8
24,-148.4663,-163.1611,-163.1611
25,-117.1926,-161.3223,-161.3223
26,-138.0246,-160.4263,-160.4263
27,-235.0607,-163.1905,-163.1905
28,-47.6862,-159.0653,-159.0653
29,-281.119,-163.2741,-163.2741
30,-130.4431,-162.1797,-162.1797
31,-62.8873,-158.9767,-158.9767
32,-119.764,-157.7513,-157.7513
33,-242.9292,-160.3325,-160.3325
34,-64.2096,-157.5053,-157.5053
35,-272.8893,-160.802,-160.802
36,-112.5576,-159.4619,-159.4619
37,-286.3694,-162.8918,-162.8918
38,-347.402,-167.7474,-167.7474
39,-428.2248,-174.4263,-174.4263
40,-194.5337,-174.929,-174.929
41,-127.6589,-173.776,-173.776
42,-478.393,-181.0288,-181.0288
43,-100.8827,-179.165,-179.165
44,-119.9748,-177.8197,-177.8197
45,-254.0006,-179.5126,-179.5126
46,-52.1692,-176.7443,-176.7443
47,-184.7619,-176.9149,-176.9149
48,-127.1603,-175.8783,-175.8783
49,-161.7949,-175.5909,-175.5909
50,-148.3817,-175.0467,-175.0467
51,-116.3228,-173.8953,-173.8953
52,-271.6607,-175.7754,-175.7754
53,-119.4604,-174.7128,-174.7128
54,-268.7857,-176.4549,-176.4549
55,-118.7535,-175.4058,-175.4058
56,-306.4576,-177.746,-177.746
57,-115.4454,-176.653,-176.653
58,-114.3874,-175.5795,-175.5795
59,-180.7685,-175.6674,-175.6674
60,-91.4442,-174.2637,-174.2637
61,-88.0753,-172.8508,-172.8508
62,-228.0142,-173.7405,-173.7405
63,-135.1534,-173.128,-173.128
64,-106.9881,-172.0946,-172.0946
65,-197.759,-172.4894,-172.4894
66,-142.7841,-172.0393,-172.0393
67,-94.4154,-170.8808,-170.8808
68,-80.4068,-169.5503,-169.5503
69,-115.826,-168.7717,-168.7717
70,-90.9851,-167.6604,-167.6604
71,-152.2876,-167.4439,-167.4439
72,-167.8941,-167.4502,-167.4502
73,-333.1316,-169.7198,-169.7198
74,-106.0753,-168.8597,-168.8597
75,-170.6615,-168.8837,-168.8837
76,-114.0548,-168.1623,-168.1623
77,-18.2818,-166.2158,-166.2158
78,-198.6028,-166.631,-166.631
79,-105.3775,-165.8557,-165.8557
80,-115.8905,-165.2311,-165.2311
81,-171.3131,-165.3062,-165.3062
82,-126.6704,-164.835,-164.835
83,-72.7493,-163.7256,-163.7256
84,-182.9124,-163.954,-163.954
85,-83.5042,-163.0075,-163.0075
86,-199.7964,-163.4353,-163.4353
87,-43.7225,-162.0593,-162.0593
88,-127.7327,-161.6692,-161.6692
89,-226.2076,-162.3943,-162.3943
90,-67.3308,-161.3381,-161.3381
91,-181.7153,-161.562,-161.562
92,-121.7723,-161.1295,-161.1295
93,-180.4502,-161.3373,-161.3373
94,-84.6376,-160.5213,-160.5213
95,-196.5953,-160.901,-160.901
96,2.5495,-159.1984,-159.1984
97,-97.0093,-158.5573,-158.5573
98,-115.1714,-158.1146,-158.1146
99,-133.998,-157.871,-157.871
100,-195.4849,-158.2471,-158.2471
101,-109.0835,-157.7604,-158.4643
102,-326.0306,-159.4101,-160.6387
103,-43.9614,-158.2892,-159.3551
104,-51.9335,-157.2666,-158.468
105,-51.8862,-156.2629,-155.7149
106,-95.5705,-155.6904,-154.2205
107,-238.1023,-156.4606,-156.2826
108,-153.3289,-156.4316,-156.5662
109,-142.9989,-156.3083,-153.2768
110,-69.9048,-155.5228,-151.975
111,-132.471,-155.3152,-152.5753
112,-99.1643,-154.8138,-151.455
113,-116.815,-154.4776,-151.4148
114,-48.3393,-153.5465,-151.0683
115,-68.2894,-152.8051,-151.2816
116,-190.7307,-153.1321,-151.7426
117,-124.352,-152.8861,-152.3578
118,-77.1756,-152.2445,-152.57
119,-150.1278,-152.2267,-153.274
120,-98.5691,-151.7796,-152.0897
121,-255.8214,-152.6394,-153.6648
122,-144.0029,-152.5686,-151.3896
123,-55.1816,-151.7769,-149.0115
124,-93.6658,-151.3082,-148.4635
125,-147.7637,-151.2799,-148.7692
126,-122.0887,-151.0482,-148.6099
127,-99.471,-150.6421,-147.254
128,-89.2541,-150.1625,-147.6697
129,-96.5647,-149.747,-145.8241
130,-61.122,-149.0653,-145.1309
131,-124.9543,-148.8812,-145.7516
132,-96.3259,-148.4831,-145.5172
133,-22.0731,-147.5326,-143.3086
134,-91.4297,-147.1139,-143.5808
135,-70.2323,-146.5444,-141.5543
136,-95.7843,-146.1712,-141.3865
137,-94.747,-145.7958,-139.4703
138,-139.9987,-145.7538,-137.3963
139,-30.0143,-144.9212,-133.4142
140,-50.674,-144.248,-131.9756
141,-128.3222,-144.135,-131.9822
142,-134.1961,-144.065,-128.5402
143,-96.7716,-143.7343,-128.4991
144,-109.7678,-143.4984,-128.3971
145,-91.3762,-143.139,-126.7708
146,-138.8683,-143.1097,-127.6378
147,-91.3592,-142.7577,-126.7038
148,-248.844,-143.4745,-127.9206
149,-84.1367,-143.0762,-127.144
150,-105.3997,-142.8251,-126.7142
151,-87.4116,-142.4581,-126.4251
152,-158.1118,-142.5611,-125.2896
153,-232.5539,-143.1493,-126.4206
154,-76.9769,-142.7196,-124.5025
155,-103.7214,-142.468,-124.3521
156,-90.8973,-142.1374,-122.1965
157,-275.6034,-142.9875,-123.7981
158,-75.3032,-142.5591,-123.4073
159,-84.4524,-142.1937,-122.4441
160,-258.5402,-142.9208,-124.1151
161,-113.3262,-142.737,-124.3676
162,-191.4904,-143.0379,-124.0023
163,-266.6028,-143.796,-125.3168
164,-106.6335,-143.5694,-125.3133
165,-321.1192,-144.6455,-126.5469
166,-107.7523,-144.4232,-126.1966
167,-80.403,-144.0399,-126.0565
168,-119.9134,-143.8963,-126.4515
169,-79.3991,-143.5146,-126.0873
170,-85.2448,-143.1719,-126.0298
171,-134.7518,-143.1226,-125.8545
172,-10.971,-142.3543,-124.2853
173,-179.1551,-142.567,-122.7455
174,-98.1721,-142.3119,-122.6665
175,-110.2488,-142.1287,-122.0623
176,-118.0816,-141.992,-122.1026
177,-68.6558,-141.5777,-122.6063
178,-153.2768,-141.6434,-122.1531
179,-173.9547,-141.8239,-122.8389
180,1.584,-141.0272,-121.6641
181,-153.2668,-141.0948,-121.4836
