episode,reward, average reward, 100-episode running mean reward
1,-164.4196,-164.4196,-164.4196
2,-92.9017,-128.6607,-128.6607
3,-107.8989,-121.7401,-121.7401
4,-129.1494,-123.5924,-123.5924
5,-134.4978,-125.7735,-125.7735
6,-151.5905,-130.0763,-130.0763
7,-44.3024,-117.8229,-117.8229
8,-149.5001,-121.7825,-121.7825
9,-250.2571,-136.0575,-136.0575
10,-242.8393,-146.7357,-146.7357
11,-152.7326,-147.2808,-147.2808
12,-141.7497,-146.8199,-146.8199
13,-105.0309,-143.6054,-143.6054
14,-129.9867,-142.6326,-142.6326
15,-76.8925,-138.2499,-138.2499
16,-133.2343,-137.9365,-137.9365
17,-391.0611,-152.8262,-152.8262
18,-95.5198,-149.6425,-149.6425
19,-272.5706,-156.1124,-156.1124
20,-119.3705,-154.2753,-154.2753
21,-26.58,-148.1945,-148.1945
22,-444.7213,-161.673,-161.673
23,-292.1358,-167.3453,-167.3453
24,-53.2267,-162.5904,-162.5904
25,-119.7634,-160.8773,-160.8773
26,-159.6116,-160.8286,-160.8286
27,-114.2146,-159.1022,-159.1022
28,-94.2166,-156.7848,-156.7848
29,-139.1204,-156.1757,-156.1757
30,-193.5926,-157.4229,-157.4229
31,-151.7666,-157.2405,-157.2405
32,-271.9008,-160.8236,-160.8236
33,-247.3425,-163.4454,-163.4454
34,-102.0563,-161.6398,-161.6398
35,-112.7388,-160.2427,-160.2427
36,-225.7618,-162.0626,-162.0626
37,-166.5875,-162.1849,-162.1849
38,-145.164,-161.737,-161.737
39,-332.2486,-166.1091,-166.1091
40,-206.5976,-167.1213,-167.1213
41,-408.1395,-172.9998,-172.9998
42,-135.2386,-172.1007,-172.1007
43,-182.4448,-172.3413,-172.3413
44,-127.96,-171.3326,-171.3326
45,-204.2966,-172.0652,-172.0652
46,-119.2823,-170.9177,-170.9177
47,-110.9823,-169.6425,-169.6425
48,-73.4528,-167.6385,-167.6385
49,-69.1272,-165.6281,-165.6281
50,-98.0882,-164.2773,-164.2773
51,-216.5109,-165.3015,-165.3015
52,-106.629,-164.1732,-164.1732
53,-220.2548,-165.2313,-165.2313
54,-133.3081,-164.6401,-164.6401
55,-128.3867,-163.981,-163.981
56,-82.6391,-162.5285,-162.5285
57,-125.87,-161.8853,-161.8853
58,-107.78,-160.9525,-160.9525
59,-95.2786,-159.8394,-159.8394
60,-113.8942,-159.0736,-159.0736
61,-249.4026,-160.5544,-160.5544
62,-95.873,-159.5112,-159.5112
63,-89.7903,-158.4045,-158.4045
64,-1.0254,-155.9454,-155.9454
65,-99.0933,-155.0708,-155.0708
66,-194.0467,-155.6613,-155.6613
67,-134.8328,-155.3505,-155.3505
68,-257.6519,-156.8549,-156.8549
69,-127.0068,-156.4223,-156.4223
70,-113.7905,-155.8133,-155.8133
71,-149.3178,-155.7218,-155.7218
72,-145.2387,-155.5762,-155.5762
73,-272.8196,-157.1823,-157.1823
74,-166.4775,-157.3079,-157.3079
75,-117.1734,-156.7728,-156.7728
76,-175.2137,-157.0154,-157.0154
77,-176.7866,-157.2722,-157.2722
78,-219.2563,-158.0668,-158.0668
79,-92.3999,-157.2356,-157.2356
80,-127.1898,-156.86,-156.86
81,-83.1173,-155.9496,-155.9496
82,-144.5123,-155.8102,-155.8102
83,-130.5266,-155.5055,-155.5055
84,-93.0823,-154.7624,-154.7624
85,-101.582,-154.1367,-154.1367
86,-100.1948,-153.5095,-153.5095
87,-88.8185,-152.7659,-152.7659
88,-201.8685,-153.3239,-153.3239
89,-98.9633,-152.7131,-152.7131
90,-112.8972,-152.2707,-152.2707
91,-105.6345,-151.7582,-151.7582
92,-103.999,-151.2391,-151.2391
93,-92.1526,-150.6038,-150.6038
94,-108.9717,-150.1609,-150.1609
95,-124.0404,-149.8859,-149.8859
96,-121.1138,-149.5862,-149.5862
97,-124.4157,-149.3267,-149.3267
98,-140.4681,-149.2363,-149.2363
99,-172.5008,-149.4713,-149.4713
100,-92.1234,-148.8979,-148.8979
101,-111.1526,-148.5241,-148.3652
102,-56.4167,-147.6211,-148.0003
103,2.4425,-146.1642,-146.8969
104,-129.3299,-146.0023,-146.8987
105,71.0501,-143.9352,-144.8433
106,-202.485,-144.4875,-145.3522
107,-192.73,-144.9384,-146.8365
108,-268.0143,-146.078,-148.0216
109,-234.397,-146.8882,-147.863
110,-180.8232,-147.1967,-147.2429
111,-46.4901,-146.2895,-146.1804
112,-11.3181,-145.0844,-144.8761
113,9.0561,-143.7203,-143.7352
114,43.1106,-142.0814,-142.0043
115,-102.9185,-141.7409,-142.2645
116,-121.4287,-141.5658,-142.1465
117,-99.807,-141.2089,-139.2339
118,-105.0141,-140.9021,-139.3289
119,-286.0971,-142.1223,-139.4641
120,-114.638,-141.8932,-139.4168
121,-304.3741,-143.236,-142.1948
122,-130.9197,-143.1351,-139.0567
123,-274.5533,-144.2035,-138.8809
124,-134.9422,-144.1288,-139.6981
125,-100.1534,-143.777,-139.502
126,-245.7338,-144.5862,-140.3632
127,-115.5896,-144.3579,-140.3769
128,-129.1621,-144.2392,-140.7264
129,-106.627,-143.9476,-140.4015
130,-154.4081,-144.0281,-140.0096
131,-77.4802,-143.5201,-139.2668
132,-5.3672,-142.4735,-136.6014
133,-72.8847,-141.9502,-134.8568
134,-161.7156,-142.0977,-135.4534
135,-110.9347,-141.8669,-135.4354
136,-84.0474,-141.4418,-134.0182
137,-317.5302,-142.7271,-135.5277
138,-248.6589,-143.4947,-136.5626
139,-93.9454,-143.1382,-134.1796
140,-150.0246,-143.1874,-133.6139
141,-183.517,-143.4734,-131.3676
142,-65.8449,-142.9268,-130.6737
143,-109.3997,-142.6923,-129.9432
144,-112.4852,-142.4825,-129.7885
145,-65.8823,-141.9543,-128.4044
146,-138.6528,-141.9317,-128.5981
147,-86.2299,-141.5527,-128.3505
148,-101.9051,-141.2848,-128.6351
149,-132.1105,-141.2233,-129.2649
150,-142.1878,-141.2297,-129.7059
151,-72.0961,-140.7719,-128.2617
152,-190.5492,-141.0993,-129.1009
153,-97.6287,-140.8152,-127.8747
154,-100.853,-140.5557,-127.5501
155,-64.3113,-140.0638,-126.9094
156,-98.3861,-139.7967,-127.0669
157,-100.3974,-139.5457,-126.8121
158,-119.6717,-139.4199,-126.931
159,-306.9612,-140.4736,-129.0479
160,-241.236,-141.1034,-130.3213
161,-84.045,-140.749,-128.6677
162,-97.8834,-140.4844,-128.6878
163,-91.2875,-140.1826,-128.7028
164,-93.5227,-139.8981,-129.6278
165,-80.6423,-139.5389,-129.4432
166,-103.7903,-139.3236,-128.5407
167,-151.1463,-139.3944,-128.7038
168,-74.3694,-139.0073,-126.871
169,-124.7364,-138.9229,-126.8483
170,-37.3123,-138.3252,-126.0835
171,-32.0862,-137.7039,-124.9112
172,-42.9632,-137.1531,-123.8884
173,-313.7056,-138.1736,-124.2973
174,-86.618,-137.8773,-123.4987
175,-92.4446,-137.6177,-123.2514
176,-229.0944,-138.1375,-123.7902
177,-68.8347,-137.7459,-122.7107
178,-229.2441,-138.26,-122.8106
179,-200.8748,-138.6098,-123.8953
180,-144.4075,-138.642,-124.0675
181,-13.3366,-137.9497,-123.3697
182,-227.6798,-138.4427,-124.2014
183,-115.1159,-138.3152,-124.0473
184,-126.065,-138.2486,-124.3771
185,-42.1701,-137.7293,-123.783
186,-97.4679,-137.5128,-123.7557
187,-62.3092,-137.1107,-123.4906
188,-96.8053,-136.8963,-122.44
189,-132.8626,-136.875,-122.779
190,-102.8043,-136.6956,-122.678
191,-100.932,-136.5084,-122.631
192,-110.8306,-136.3747,-122.6993
193,-139.9834,-136.3934,-123.1776
194,-97.2406,-136.1915,-123.0603
195,-88.2887,-135.9459,-122.7028
196,-81.9845,-135.6706,-122.3115
197,-100.1607,-135.4903,-122.069
198,-123.878,-135.4317,-121.9031
199,-101.0384,-135.2588,-121.1885
200,-98.9361,-135.0772,-121.2566
201,-144.4029,-135.1236,-121.5891
202,-125.195,-135.0745,-122.2769
203,-90.231,-134.8536,-123.2036
204,-72.5184,-134.548,-122.6355
205,-82.5224,-134.2942,-124.1712
206,-114.0368,-134.1959,-123.2867
207,-151.5414,-134.2797,-122.8748
208,-64.9717,-133.9465,-120.8444
209,-91.7965,-133.7448,-119.4184
210,-238.5678,-134.2439,-119.9959
211,-79.3035,-133.9836,-120.324
212,-98.739,-133.8173,-121.1982
213,-92.648,-133.624,-122.2152
214,-135.6595,-133.6335,-124.0029
215,-61.5001,-133.298,-123.5888
216,-77.0588,-133.0377,-123.1451
217,-157.9037,-133.1523,-123.726
218,-73.9106,-132.8805,-123.415
219,-123.7907,-132.839,-121.7919
220,-120.619,-132.7835,-121.8517
221,-66.8355,-132.4851,-119.4764
222,-81.9382,-132.2574,-118.9865
223,-28.1879,-131.7907,-116.5229
224,-276.7198,-132.4377,-117.9407
225,-23.1588,-131.952,-117.1707
226,-305.8751,-132.7216,-117.7721
227,-189.268,-132.9707,-118.5089
228,-105.8614,-132.8518,-118.2759
229,-141.7597,-132.8907,-118.6272
230,-140.5104,-132.9238,-118.4883
231,-226.811,-133.3302,-119.9816
232,-56.5802,-132.9994,-120.4937
233,-68.2238,-132.7214,-120.4471
234,-82.1948,-132.5055,-119.6519
235,-82.6334,-132.2933,-119.3689
236,-74.3912,-132.0479,-119.2723
237,-81.0205,-131.8326,-116.9072
238,-91.8467,-131.6646,-115.3391
239,-42.4858,-131.2915,-114.8245
240,-114.8729,-131.2231,-114.473
241,-100.0167,-131.0936,-113.638
242,-66.5814,-130.827,-113.6453
243,-203.7797,-131.1272,-114.5891
244,-106.3885,-131.0258,-114.5282
245,-406.8832,-132.1518,-117.9382
246,-18.3729,-131.6893,-116.7354
247,-124.0761,-131.6584,-117.1138
248,-47.2174,-131.318,-116.567
249,-70.5085,-131.0737,-115.9509
250,-25.1815,-130.6502,-114.7809
251,-57.8729,-130.3602,-114.6386
252,-34.5931,-129.9802,-113.0791
253,25.1472,-129.367,-111.8513
254,-76.9817,-129.1608,-111.6126
255,-48.6087,-128.8449,-111.4556
256,-51.0326,-128.541,-110.982
257,-32.9427,-128.169,-110.3075
258,-7.5202,-127.7013,-109.186
259,-312.461,-128.4147,-109.241
260,-8.518,-127.9536,-106.9138
261,-65.5969,-127.7146,-106.7293
262,65.3131,-126.9779,-105.0974
263,-29.0735,-126.6056,-104.4752
264,-36.7231,-126.2652,-103.9072
265,-4.8146,-125.8069,-103.1489
266,-94.8785,-125.6906,-103.0598
267,-22.6583,-125.3047,-101.7749
268,-51.8614,-125.0307,-101.5499
269,19.2964,-124.4941,-100.1095
270,-6.0013,-124.0553,-99.7964
271,-30.9341,-123.7117,-99.7849
272,-27.5331,-123.3581,-99.6306
273,-19.2737,-122.9768,-96.6863
274,-12.2883,-122.5728,-95.943
275,-10.6004,-122.1656,-95.1245
276,-91.6863,-122.0552,-93.7505
277,-59.2242,-121.8284,-93.6544
278,-432.5757,-122.9462,-95.6877
279,-144.233,-123.0225,-95.1213
280,74.4494,-122.3172,-92.9327
281,-108.7776,-122.269,-93.8871
282,-4.5665,-121.8517,-91.656
283,-1.4105,-121.4261,-90.5189
284,-29.671,-121.103,-89.555
285,22.7236,-120.5983,-88.906
286,-22.8495,-120.2566,-88.1599
287,-35.0508,-119.9597,-87.8873
288,18.2143,-119.4799,-86.7371
289,-55.7576,-119.2594,-85.966
290,1.9869,-118.8413,-84.9181
291,-30.3876,-118.5374,-84.2127
292,-176.9258,-118.7373,-84.8736
293,-191.7711,-118.9866,-85.3915
294,-17.9462,-118.6429,-84.5986
295,31.6024,-118.1336,-83.3996
296,-231.7723,-118.5175,-84.8975
297,-140.6626,-118.5921,-85.3025
298,-258.9531,-119.0631,-86.6533
299,-163.7064,-119.2124,-87.28
300,-39.9128,-118.9481,-86.6897
301,14.9983,-118.5031,-85.0957
302,15.8364,-118.0582,-83.6854
303,-66.0002,-117.8864,-83.4431
304,36.0563,-117.38,-82.3574
305,15.9682,-116.9428,-81.3724
306,6.0038,-116.541,-80.172
307,-360.3497,-117.3352,-82.2601
308,-254.8957,-117.7818,-84.1594
309,-51.2751,-117.5666,-83.7541
310,60.3303,-116.9927,-80.7652
311,-55.653,-116.7955,-80.5287
312,9.986,-116.3891,-79.4414
313,24.8267,-115.938,-78.2667
314,-32.1565,-115.6712,-77.2316
315,-105.4139,-115.6386,-77.6708
316,-115.7288,-115.6389,-78.0575
317,0.7358,-115.2718,-76.4711
318,-355.9245,-116.0285,-79.2912
319,-190.7293,-116.2627,-79.9606
320,14.0108,-115.8556,-78.6143
321,17.817,-115.4392,-77.7678
322,-277.1007,-115.9412,-79.7194
323,-43.3178,-115.7164,-79.8707
324,-88.716,-115.6331,-77.9907
325,8.9399,-115.2497,-77.6697
326,107.887,-114.5653,-73.5321
327,4.529,-114.2011,-71.5941
328,-20.6062,-113.9157,-70.7415
329,124.9246,-113.1898,-68.0747
330,5.5235,-112.83,-66.6144
331,10.2086,-112.4583,-64.2442
332,19.3423,-112.0613,-63.4849
333,75.8689,-111.497,-62.044
334,-33.5805,-111.2637,-61.5579
335,87.6476,-110.6699,-59.8551
336,62.8229,-110.1536,-58.4829
337,-58.4655,-110.0002,-58.2574
338,71.1721,-109.4642,-56.6272
